2310,3104
Statuenhaft 128,143,157,28
dann 1541,1705,69,26
knapp 1627,1705,88,34
Zeit, 1732,1700,66,36
noch 1815,1705,71,25
rechtzeitig 1902,1705,149,34
zur 2068,1713,46,17
Vorführung 1164,1742,175,35
eines 1362,1744,69,25
Farbenorchesters 1455,1743,244,26
einzutreffen, 1724,1743,175,31
die 1924,1742,40,26
ein 1988,1743,42,25
paar 2052,1751,62,25
Häuser 1164,1781,103,24
nebenan 1277,1781,118,25
stattfand. 1407,1781,131,25
<EOS>
Zum 1552,1781,69,24
Schluß, 1632,1781,105,30
von 1749,1790,55,16
sechs 1816,1781,72,24
bis 1901,1781,38,24
sieben, 1952,1781,96,30
war 2060,1789,53,16
Quartettspielen 1165,1819,220,34
bei 1401,1819,42,25
Bekannten 1459,1819,151,24
vorgemerkt. 1626,1819,177,33
<EOS>
Colette 1821,1819,101,24
Gnägi 1939,1819,87,33
repe¬ 2041,1826,72,26
tierte 1164,1857,74,24
von 1254,1865,55,16
zwei 1324,1857,65,24
bis 1405,1856,39,25
vier 1461,1857,55,24
Kunstgeschichte, 1532,1856,246,34
von 1795,1865,55,16
vier 1865,1856,56,25
bis 1937,1856,38,25
fünf 1992,1855,63,26
saß 2068,1856,44,25
ihr 1164,1894,41,25
eine 1218,1894,57,25
Freundin 1288,1894,132,25
für 1432,1894,43,25
ein 1488,1895,42,24
Porträt, 1543,1895,110,29
worauf 1667,1893,105,26
sie 1783,1894,36,25
in 1831,1894,28,25
der 1873,1894,46,25
Altstadt 1931,1893,115,26
Tee 2060,1894,53,25
trinken 1164,1932,103,25
ging. 1276,1933,71,33
<EOS>
Nahe 1358,1932,75,25
beim 1442,1932,70,25
Faubourg 1521,1932,139,33
St-Léger 1671,1933,123,32
befand 1802,1931,96,26
sich 1908,1931,54,26
der 1970,1931,46,26
Laden 2024,1931,88,26
eines 1164,1969,69,26
Chinesen. 1251,1970,135,25
<EOS>
In 1404,1971,31,24
dessen 1450,1970,93,25
Hinterstübchen 1558,1969,223,26
traf 1796,1969,53,26
sich 1862,1969,54,25
alles, 1932,1969,69,31
was 2017,1978,52,17
in 2085,1969,28,25
Pompaples 1164,2007,155,34
mit 1334,2008,48,25
Bildung 1395,2007,115,34
zu 1523,2016,33,16
tun 1570,2013,47,19
harte, 1631,2007,78,31
und 1725,2007,55,25
es 1794,2016,25,16
gehörte 1834,2007,109,33
zum 1957,2015,61,17
guten 2031,2013,81,27
Ton, 1164,2045,69,31
dort 1255,2045,61,25
gesehen 1336,2046,113,33
zu 1469,2053,33,17
werden. 1522,2046,113,24
<EOS>
Der 1658,2046,55,24
Chinese 1734,2046,110,24
war 1865,2054,54,16
zwar 1938,2053,69,17
längst 2027,2045,85,34
gestorben, 1163,2083,150,33
aber 1326,2083,61,25
zur 1398,2091,46,17
Ehre 1456,2083,70,25
seines 1538,2084,82,24
Nachfolgers 1632,2083,174,34
muß 1819,2083,63,24
gesagt 1896,2089,89,28
werden, 1997,2083,115,30
daß 1164,2115,50,30
der 1234,2121,46,24
Tee 1298,2121,52,25
noch 1369,2121,70,25
immer 1457,2121,93,24
sehr 1569,2121,58,24
echt 1646,2121,59,24
bereitet 1723,2121,107,24
und 1849,2120,55,25
ausgeschenkt 1923,2121,189,33
wurde. 1163,2158,99,26
<EOS>
Nachher 1277,2159,123,25
war 1412,2167,54,17
Abendakt 1479,2158,142,26
in 1633,2159,28,25
der 1676,2158,44,26
Kunstschule, 1734,2158,186,31
aber 1935,2158,61,26
Colette 2011,2158,101,26
schwankte 1164,2196,149,27
sehr, 1334,2197,66,31
ob 1421,2196,34,26
sie 1477,2197,35,25
nicht 1532,2197,72,25
lieber 1622,2196,81,26
auch 1721,2196,67,27
der 1808,2196,45,26
Vorführung 1872,2196,174,34
des 2067,2195,44,27
Farbenorchesters 1162,2234,245,26
beiwohnen 1422,2234,158,26
wollte. 1595,2234,97,26
<EOS>
Vielleicht 1708,2234,138,25
ließ 1860,2234,51,25
sich 1927,2234,54,25
die 1997,2234,41,25
Zeit 2054,2234,58,25
halbieren 1162,2272,133,25
und 1315,2272,55,25
beides 1390,2272,88,25
verbinden. 1499,2272,153,25
<EOS>
Miß 1674,2272,58,25
Studley 1754,2272,107,33
ging 1881,2272,64,33
nicht 1966,2272,72,24
Tee 2058,2272,54,24
trinken, 1162,2310,112,30
sie 1290,2311,36,24
war 1340,2318,54,17
den 1408,2310,50,25
ganzen 1472,2318,100,26
Nachmittag 1586,2310,168,33
an 1770,2318,32,16
ihren 1815,2310,75,24
Rhythmikkurs 1904,2309,206,33
gebunden. 1163,2347,148,34
<EOS>
Hilde 1334,2347,79,25
Stöbermann 1436,2348,173,24
und 1629,2347,55,25
Nina 1705,2348,70,24
Pohnetramp 1796,2347,175,34
begaben 1993,2347,119,34
sich 1163,2385,55,25
gleich 1227,2385,84,34
nach 1320,2385,67,25
dem 1395,2385,60,25
Essen 1465,2387,82,23
auf 1556,2385,47,25
den 1609,2385,50,25
Mont 1669,2387,79,23
Revard. 1757,2385,111,25
<EOS>
Aber 1878,2385,72,25
sie 1959,2386,36,24
wollten 2003,2385,109,25
um 1162,2432,46,16
sechse 1227,2423,88,25
schon 1334,2423,82,26
wieder 1433,2423,98,26
unten 1548,2429,81,19
sein, 1648,2424,62,30
um 1730,2432,45,16
einen 1794,2423,75,25
Vortrag 1887,2424,115,32
in 2019,2423,28,25
der 2066,2422,46,26
Universitätsaula 1162,2461,231,25
anhören 1408,2461,117,25
zu 1539,2469,33,17
können. 1588,2461,115,25
<EOS>
Ein 1720,2461,50,25
Monsieur 1786,2461,138,25
Vieillebarbe 1938,2460,173,26
vom 1162,2507,65,16
Institut 1244,2499,106,25
de 1367,2499,32,24
France 1416,2499,97,25
sprach 1531,2499,92,33
über 1640,2499,65,25
Rabelais. 1722,2499,126,24
<EOS>
Eine 1868,2499,66,24
solche 1952,2499,88,24
Ge¬ 2058,2499,52,24
legenheit 1161,2536,131,34
zur 1305,2544,46,17
Weiterbildung 1367,2537,207,33
durfte 1589,2536,87,25
nicht 1688,2537,73,24
versäumt 1774,2540,132,21
werden. 1919,2536,114,25
<EOS>
Guy 2049,2537,63,32
stimmte 1162,2575,115,23
zu. 1291,2582,41,17
<EOS>
Er 1350,2576,36,22
war 1400,2583,54,16
sicher, 1470,2575,90,29
daß 1577,2574,50,25
der 1644,2574,45,25
Vortrag 1704,2575,115,32
niemand 1834,2573,123,25
dazu 1973,2573,65,25
ver¬ 2053,2582,57,16
leiten 1161,2611,78,26
würde, 1251,2611,99,31
die 1364,2612,41,25
nähere 1417,2612,95,25
Bekanntschaft 1524,2611,203,26
mit 1739,2612,47,25
dem 1799,2606,60,31
Werk 1874,2611,79,26
des 1966,2611,44,26
genia¬ 2024,2612,86,33
len, 1161,2649,51,30
aber 1229,2649,60,26
für 1306,2649,42,26
Jungmädchenlektüre 1364,2649,301,34
völlig 1681,2649,83,34
ungeeigneten 1781,2649,193,34
Autoren 1989,2649,121,25
zu 1161,2695,33,17
suchen. 1212,2687,105,26
<EOS>
«Und 1343,2687,77,26
Sie, 1438,2688,50,30
Fräulein 1505,2687,119,26
Margrit?» 1641,2687,147,34
<EOS>
fragte 1805,2687,84,34
er 1907,2696,26,16
schließlich. 1951,2687,157,25
<EOS>
Es 1162,2726,34,24
war 1209,2734,53,16
ihm 1273,2725,56,25
aufgefallen, 1341,2725,164,34
daß 1518,2725,50,25
ihrerseits 1580,2725,129,25
keine 1723,2725,74,25
Aussage 1809,2725,119,33
erfolgt 1940,2725,96,33
war. 2047,2733,61,17
<EOS>
<EOP>
«Ich 1218,2763,60,24
habe 1289,2763,66,25
Aufgaben 1366,2763,141,34
zu 1518,2771,32,16
machen. 1562,2763,117,24
<EOS>
Wenn 1693,2764,85,24
ich 1789,2763,43,24
bis 1843,2763,39,24
fünf 1894,2762,62,25
Uhr 1964,2763,57,24
fertig 2031,2763,78,33
werde, 1162,2800,95,31
gehe 1275,2801,66,33
ich 1356,2801,44,24
vielleicht 1413,2801,131,24
noch 1557,2801,70,25
in 1643,2801,27,24
den 1685,2800,52,25
Vortrag 1748,2802,114,32
des 1880,2800,44,24
— 1941,2815,34,3
ich 1991,2800,42,24
hab' 2049,2800,60,24
seinen 1164,2839,88,23
Namen 1261,2839,103,24
vergessen 1372,2847,140,24
—, 1524,2853,41,16
von 1578,2847,55,16
dem 1646,2838,60,25
so 1718,2846,30,17
viel 1756,2838,52,25
Gutes 1818,2838,83,25
gesagt 1913,2844,91,26
wird. 2015,2838,74,24
<EOS>
» 2096,2846,13,16
<EOS>
<EOP>
29 2151,2996,29,22
<EOS>
<EOP>
