2310,3104
enn 420,291,203,146
seinerseits, 1356,2792,95,19
die 1461,2792,25,16
Festlichkeit 1494,2791,103,17
im 1604,2791,22,16
Hause 1633,2791,54,16
der 1697,2791,29,16
unseligen 1733,2790,84,20
Dorette 1825,2791,70,15
zu 1903,2794,21,11
verlassen. 1932,2789,86,16
<EOS>
Was 2029,2789,39,15
weiter 2076,2788,55,16
geschieht, 1272,2819,89,20
entzieht 1374,2819,71,16
sich 1454,2819,34,16
dem 1497,2819,37,16
Blick 1542,2818,46,16
des 1597,2818,29,16
unsichtbaren 1637,2817,115,16
Zuschauers, 1760,2816,107,19
er 1879,2821,18,11
sinkt 1907,2816,43,16
in 1960,2816,17,15
die 1985,2815,26,16
Nacht 2019,2815,54,16
tiefen 2082,2814,48,16
traumlosen 1273,2846,100,16
Schlummers 1382,2845,109,16
zurück. 1499,2844,66,16
<EOS>
<EOP>
27 2174,2986,26,22
<EOS>
<EOP>
