2280,3100
14- 146,88,39,23
Dampf 1706,1841,81,26
und 1808,1842,42,19
Rauch 1868,1842,73,20
in 1957,1843,21,19
den 1996,1843,40,19
Tunneln 1095,1878,99,19
hinreichende 1211,1877,153,20
Sicherheit 1380,1877,119,20
bieten. 1521,1877,76,21
<EOS>
Die 1630,1876,40,21
Unternehmung 1687,1878,177,27
hat 1884,1880,35,18
übrigens 1936,1880,101,26
das 1095,1914,38,21
Recht, 1151,1914,72,26
vorbehaltlich 1240,1915,154,19
der 1414,1915,37,20
Genehmigung 1468,1915,166,25
durch 1651,1915,64,19
den 1737,1915,40,20
Minister 1796,1917,97,18
der 1909,1917,39,19
öffent¬ 1964,1918,73,19
lichen 1094,1952,70,20
Arbeiten 1181,1952,102,21
jedes 1304,1952,59,25
andere 1379,1952,79,20
Bewegungssystem 1476,1954,211,23
der 1703,1953,39,19
Beförderung 1759,1954,149,26
als 1924,1956,29,18
durch 1969,1956,68,19
Dampfmaschinen 1093,1991,205,26
anzuwenden. 1314,1990,151,20
<EOS>
Es 1497,1991,29,19
können 1541,1991,87,18
drei 1648,1991,43,18
Wagenklassen 1709,1991,171,25
eingerichtet 1897,1993,140,25
werden, 1094,2029,93,26
von 1203,2034,42,12
welchen 1261,2028,95,19
die 1374,2028,33,18
L'nternehmung 1419,2028,175,25
die 1611,2028,35,18
mittlere 1663,2028,90,19
Klasse 1767,2029,75,20
aufzuheben 1853,2029,132,22
be¬ 2002,2032,36,18
rechtigt 1095,2066,91,25
ist. 1202,2066,32,19
<EOS>
<EOP>
Der 1184,2104,44,19
Vertrag 1246,2104,90,25
wird 1353,2102,52,19
erst 1422,2107,40,16
definitiv, 1479,2103,102,20
wenn 1603,2110,62,13
die 1687,2104,33,19
Stadt 1737,2105,60,19
Paris 1814,2106,57,19
die 1893,2106,34,18
Beding¬ 1945,2107,93,26
ungen 1095,2147,70,20
desselben, 1182,2141,118,19
soweit 1322,2140,72,19
solche 1415,2141,71,20
die 1509,2141,34,19
Stadt 1560,2141,59,19
betreffen, 1636,2141,109,26
gutheisst 1767,2143,103,24
und 1886,2144,44,19
den 1946,2145,42,18
ihr 2005,2145,32,19
gehörenden, 1095,2178,145,27
zum 1256,2185,46,12
Bau 1320,2178,43,19
erforderlichen 1380,2178,167,20
Grund 1560,2178,75,20
und 1651,2179,43,18
Boden 1714,2179,70,20
kostenlos 1803,2180,107,20
überlässt, 1927,2182,110,26
sowie 1092,2217,64,19
ferner 1173,2217,71,18
alle 1255,2216,40,19
zum 1307,2222,46,12
Bau 1366,2216,43,18
und 1421,2217,43,18
Betrieb 1476,2216,85,19
der 1573,2216,38,18
Linien 1622,2217,76,18
benötigten 1715,2217,123,27
Materialien 1852,2218,132,21
etc. 1997,2224,38,16
<EOS>
vom 1094,2261,47,12
städtischen 1158,2254,128,19
Einfuhrzoll 1303,2252,132,20
befreit. 1451,2254,81,19
<EOS>
<EOP>
Ob 1184,2291,34,20
das 1235,2291,37,19
Projekt 1285,2290,87,26
also 1389,2291,43,19
thatsächlich 1444,2290,139,21
auf 1600,2291,37,19
Grundlage 1647,2292,123,25
des 1788,2294,37,19
oben 1842,2295,55,18
skizzierten 1912,2295,124,20
Vertrages 1094,2329,114,26
zur 1225,2335,35,13
Ausführung 1277,2327,137,26
gelangt, 1431,2329,95,26
hängt 1542,2329,67,26
vom 1625,2335,49,13
Pariser 1685,2330,83,19
Gemeinderat 1786,2331,151,20
ab. 1949,2333,32,18
<EOS>
der 2000,2333,37,19
bisher 1092,2366,72,21
der 1195,2366,39,19
Vertrag 1251,2366,89,25
wurde 1361,2366,72,19
unter 1455,2371,61,15
dem 1539,2366,49,19
vorhergehenden 1605,2367,192,26
Ministerium 1815,2370,142,18
abge¬ 1973,2371,64,25
schlossen) 1092,2404,118,25
mit 1221,2404,37,18
Bezug 1270,2404,70,24
auf 1351,2404,38,18
die 1399,2404,33,18
Anordnung 1448,2405,135,24
der 1600,2405,37,18
Wagenklassen 1654,2405,170,25
bezw. 1841,2408,63,19
<EOS>
die 1922,2408,35,19
Tarif¬ 1969,2409,68,18
sätze 1091,2445,56,17
Forderungen 1171,2442,152,24
geltend 1347,2441,86,25
gemacht 1455,2442,99,25
hat. 1576,2442,41,19
<EOS>
denen 1641,2443,70,18
die 1737,2443,33,19
Unternehmung 1786,2444,177,27
nicht 1979,2446,58,19
glaubte 1094,2481,86,25
entsprechen 1198,2480,140,24
zu 1355,2486,23,12
können. 1395,2480,93,20
<EOS>
<EOP>
Die 1184,2515,39,22
elektrischen 1241,2515,148,22
Centralen 1409,2515,119,23
in 1547,2516,18,22
Paris. 1585,2516,69,23
<EOS>
In 1689,2519,24,18
der 1736,2519,36,19
letzten 1795,2521,75,19
Sitzung 1891,2521,86,26
der 1999,2522,38,19
«Société 1096,2555,97,21
internationale 1206,2554,161,20
des 1380,2554,36,19
électriciens.» 1428,2555,145,20
<EOS>
zu 1582,2562,23,13
Paris 1615,2556,60,19
haben 1686,2556,69,20
die 1770,2557,34,20
HH. 1814,2559,49,18
<EOS>
J. 1872,2558,24,25
<EOS>
laffaroiie 1908,2559,129,25
und 1096,2593,42,20
J. 1154,2593,24,26
<EOS>
Meyer 1195,2593,79,24
sehr 1294,2592,48,19
interessante 1364,2592,138,20
Mitteilungen 1523,2593,150,26
über 1698,2594,50,20
die 1770,2595,33,20
Ausdehnung 1825,2596,148,26
und 1995,2598,40,19
Entwickelung 1094,2631,163,24
der 1274,2631,37,18
Aulagen 1329,2630,98,25
zur 1444,2637,35,13
Verteilung 1492,2631,124,26
der 1633,2631,37,19
elektrischen 1688,2631,141,22
Energie 1841,2634,93,25
in 1946,2634,21,19
Paris 1978,2635,59,19
gemacht, 1093,2669,106,25
indem 1216,2668,71,18
der 1304,2668,38,18
erstere 1359,2670,78,17
den 1454,2669,41,19
rem 1512,2675,46,12
technischen, 1575,2669,143,26
der 1736,2670,38,19
zweite 1790,2672,71,19
Referent 1878,2671,101,20
den 1995,2672,40,20
rein 1091,2707,47,19
kaufmännischen 1154,2705,191,20
Teil 1361,2705,49,20
des 1426,2706,37,19
Gegenstandes 1480,2707,163,25
erörterte. 1659,2709,109,17
<EOS>
<EOP>
Seitdem 1182,2743,93,20
im 1293,2743,28,19
Jahre 1334,2743,65,26
1SS9 1418,2743,55,26
vom 1491,2751,47,13
Pariser 1555,2744,83,20
Stadtrat 1655,2746,95,18
Konzessionen 1766,2747,161,19
für 1950,2747,32,19
die 2003,2747,33,19
Verteilung 1093,2781,125,25
elektrischer 1234,2780,138,20
Energie 1382,2781,95,27
erteilt 1494,2781,67,21
wurden, 1576,2782,99,26
sind 1686,2783,47,19
folgende 1744,2783,102,26
sieben 1858,2784,72,19
Central- 1942,2785,96,19
statiouen 1091,2819,104,19
entstanden: 1212,2819,138,19
Die 1367,2819,42,19
«Compagnie 1427,2819,147,27
Continentale 1593,2820,149,20
Edison», 1759,2821,102,28
deren 1879,2822,64,19
in 1961,2823,20,18
der 1999,2823,38,19
Avenue 1092,2858,88,18
Trudaine, 1198,2856,116,26
der 1332,2857,37,18
Rue 1388,2857,42,18
Drouot 1447,2858,83,19
und 1548,2858,42,18
im 1606,2858,29,18
Palais 1646,2858,70,20
Royal 1727,2859,69,26
befindliche 1811,2859,130,20
Werke 1957,2861,80,19
insgesamt 1094,2894,115,25
30S0 1228,2894,56,24
kw 1300,2894,37,19
leisten; 1353,2894,86,26
die 1458,2896,34,18
Société 1523,2895,83,20
dX-clairage 1623,2895,129,27
et 1768,2901,19,15
de 1803,2897,25,19
force 1846,2897,57,21
par 1919,2904,39,20
l'elee- 1969,2897,70,21
<EOS>
<EOP>
