2176,3261
Bernhard, 137,679,121,31
Erzähler 1837,2775,104,28
muss 1954,2784,64,19
diese 2032,2775,58,27
Er¬ 2103,2770,33,27
fahrung 1506,2824,98,36
machen 1617,2824,97,28
mit 1728,2828,42,24
seiner 1782,2828,71,24
wiederholt 1867,2824,135,28
neu 2016,2832,42,19
ange¬ 2073,2823,64,30
setzten 1506,2879,85,22
Studie 1601,2874,75,28
über 1686,2874,56,28
Glenn 1751,2874,71,28
Gould, 1832,2874,79,28
die 1921,2874,35,27
mit 1965,2876,42,25
Sicherheit 2017,2866,119,35
nie 1507,2925,36,25
zu 1557,2931,28,19
einem 1601,2925,74,25
befriedigenden 1691,2922,185,36
Abschluss 1892,2922,122,28
kommen 2030,2918,107,30
wird. 1506,2972,62,27
<EOS>
<EOP>
Die 1542,3023,40,24
drei 1603,3021,44,26
Freunde 1669,3021,99,27
repräsentieren 1789,3023,179,32
anscheinend 1990,3011,147,35
grundlegende 1506,3068,168,35
Möglichkeiten, 1699,3068,181,36
Perspektiven 1906,3068,154,36
odd 2085,3060,48,29
Komponenten 1507,3119,174,33
von 1706,3126,44,18
Bernhards 1776,3117,127,28
Künstlerexistenz- 1930,3112,206,33
70 1122,3189,28,26
<EOS>
<EOP>
