2254,2981
16. 80,76,39,21
V^jjlag 1402,1314,96,37
von 1523,1328,50,16
Julius 1597,1322,84,22
Springer. 1705,1322,131,27
<EOS>
Preis 1868,1322,74,21
geh. 1965,1322,58,26
<EOS>
etwa 1076,1353,69,22
25 1162,1354,28,20
Fr., 1211,1354,49,24
<EOS>
geb. 1278,1354,56,25
<EOS>
Fr. 1354,1353,41,23
<EOS>
27,50. 1416,1353,75,24
<EOS>
<EOP>
Wie 1139,1383,56,21
im 1211,1383,36,21
Vorwort 1262,1383,120,22
des 1398,1383,45,22
Buches 1459,1383,100,21
erwähnt 1576,1383,116,22
ist, 1709,1383,41,24
füllt 1768,1382,60,21
dieses 1846,1382,83,21
Werk 1944,1382,79,20
tatsächlich 1076,1413,155,21
eine 1251,1413,56,20
Lücke 1328,1413,87,20
in 1434,1413,27,20
der 1483,1413,45,20
technischen 1549,1412,165,21
Literatur 1733,1412,132,21
aus. 1886,1416,55,16
<EOS>
Ein 1973,1411,49,21
erster 1078,1443,82,21
Abschnitt 1181,1443,139,22
orientiert 1340,1443,135,21
über 1496,1443,64,21
Bauformen 1582,1443,156,20
und 1760,1442,53,20
Konstruktion 1834,1441,190,21
der 1076,1473,45,20
Schmiedepressen 1144,1472,239,27
bis 1413,1472,40,22
zu 1482,1477,33,16
den 1537,1473,48,21
allergrössten 1607,1472,184,26
Ausführungen, 1813,1472,209,25
während 1076,1503,122,20
im 1215,1503,35,20
weiteren 1266,1503,123,20
dann 1405,1503,67,19
die 1487,1502,40,23
Druckwassererzeuger 1542,1502,309,25
und 1866,1501,53,20
Akku¬ 1933,1501,90,20
mulatoren 1077,1532,146,22
behandelt 1247,1532,136,22
werden. 1407,1532,109,21
<EOS>
Mit 1557,1532,51,21
besonderen 1633,1532,157,21
Kapiteln 1814,1531,122,27
über 1960,1531,64,21
Steuerungen, 1077,1563,184,25
Rohrleitungen 1278,1562,203,26
und 1497,1563,52,19
Armaturen 1565,1561,158,22
wird 1740,1561,65,21
der 1820,1561,48,21
konstruk¬ 1883,1561,140,21
tive 1078,1593,51,20
Teü 1151,1593,54,20
abgeschlossen. 1225,1593,205,25
<EOS>
Die 1449,1592,48,22
zwei 1516,1592,66,21
weitern 1600,1592,107,21
Abschnitte 1726,1591,154,24
sind 1901,1591,57,21
der 1980,1592,44,19
Berechnung 1077,1622,168,26
und 1265,1624,52,19
den 1337,1623,48,20
Wirtschaftlichkeitsbetrachtungen 1403,1621,482,26
der 1903,1621,45,21
ver¬ 1967,1626,56,16
schiedenen 1077,1653,152,20
Schmiedepressen 1243,1652,240,26
gewidmet 1498,1652,137,26
und 1649,1652,53,20
schliesslich 1716,1651,159,21
sind 1886,1651,60,21
noch 1958,1651,66,21
die 1078,1683,40,21
Hufsmaschinen, 1131,1682,226,26
wie 1372,1682,48,22
Blockwende- 1435,1682,180,21
und 1632,1684,50,19
Drehmaschinen, 1697,1681,224,25
Krane 1937,1681,87,20
usw. 1077,1717,63,16
<EOS>
mit 1160,1713,48,21
zahlreichen 1224,1712,161,21
Abbüdungen 1404,1712,178,25
erläutert. 1601,1711,132,23
<EOS>
<EOP>
Im 1140,1742,41,21
Zusammenhang 1197,1742,225,25
mit 1436,1742,49,21
den 1500,1742,48,20
Schmiedepressen 1565,1742,238,25
sind 1819,1741,58,21
mancher¬ 1891,1742,134,20
lei 1079,1772,33,20
Angaben 1125,1772,126,25
im 1267,1772,36,20
Buche 1317,1772,87,21
enthalten, 1419,1771,140,25
die 1576,1771,39,21
auch 1631,1771,67,21
ihre 1711,1771,55,22
Gültigkeit 1782,1770,145,26
haben 1941,1770,84,22
für 1079,1803,42,19
den 1143,1803,47,19
Betrieb 1211,1802,103,20
und 1342,1802,52,19
die 1422,1802,41,20
Konstruktion 1483,1801,190,21
anderer 1697,1801,110,20
hydraulischer 1832,1801,193,25
Maschinen. 1079,1831,156,22
<EOS>
Da 1255,1831,41,22
die 1314,1831,40,22
hydraulischen 1372,1830,198,28
Pressen 1588,1831,111,21
für 1717,1830,45,22
die 1780,1830,40,22
vielseitigsten 1838,1830,188,26
Arbeiten 1079,1858,124,25
und 1220,1862,53,20
für 1291,1861,44,21
die 1355,1861,41,21
mannigfaltigsten 1416,1861,243,25
Baustoffe, 1678,1860,145,27
wie 1842,1860,49,21
Schwer- 1911,1860,113,21
und 1078,1891,51,21
Leichtmetalle, 1149,1891,201,25
Gummi, 1359,1891,110,24
Kunstharze 1478,1891,164,21
usw. 1660,1895,64,17
<EOS>
Verwendung 1743,1891,179,25
finden, 1929,1890,95,24
ist 1079,1921,34,22
dieses 1134,1921,83,20
Buch 1237,1921,71,20
wertvoll 1326,1921,115,20
für 1463,1921,44,20
die 1527,1921,41,20
technischen 1588,1920,165,21
Leiter 1773,1920,87,21
vieler 1879,1920,78,21
Be¬ 1977,1920,47,20
triebe, 1079,1951,88,25
daneben 1183,1952,113,20
aber 1311,1952,62,20
auch 1386,1951,67,20
für 1466,1951,44,21
Studierende 1523,1950,167,22
und 1704,1952,52,20
für 1770,1950,44,21
die 1827,1950,39,21
Konstruk¬ 1880,1950,144,22
teure 1078,1981,73,21
auf 1169,1980,47,22
diesem 1232,1980,98,22
Spezialgebiet. 1350,1980,193,27
<EOS>
E. 1799,1980,28,21
<EOS>
Hablützel. 1848,1980,144,21
<EOS>
<EOP>
Der 1140,2029,53,22
Eisenbetonbau. 1208,2029,215,21
<EOS>
Seine 1447,2029,74,21
Theorie 1534,2029,107,21
und 1654,2029,52,21
Anwendung. 1721,2028,176,25
<EOS>
Heraus¬ 1912,2028,113,20
gegeben 1079,2059,114,26
von 1207,2064,49,16
Dr.-Ing. 1272,2059,112,26
<EOS>
und 1399,2059,52,20
Dr. 1465,2059,44,22
<EOS>
sc. 1525,2063,35,17
<EOS>
techn. 1574,2058,83,22
<EOS>
e. 1672,2063,20,16
<EOS>
h, 1707,2058,25,21
E. 1747,2058,28,21
<EOS>
Morsch, 1791,2057,157,26
Pro¬ 1963,2057,61,22
fessor 1079,2090,83,20
an 1180,2094,35,16
der 1231,2090,46,21
T. 1294,2090,28,20
<EOS>
H. 1339,2089,33,21
<EOS>
Stuttgart. 1391,2089,141,25
<EOS>
Fünfte, 1551,2088,103,25
vollständig 1671,2088,157,26
neu 1843,2092,51,16
bearbei¬ 1911,2088,113,21
tete 1078,2119,54,21
und 1152,2121,53,20
vermehrte 1223,2119,145,21
Auflage. 1388,2119,119,26
<EOS>
H. 1528,2119,32,21
<EOS>
Band, 1581,2118,79,25
3. 1680,2118,21,21
<EOS>
TeU, 1720,2118,61,25
Statik 1803,2118,88,21
der 1911,2118,46,21
Ge¬ 1976,2118,48,21
wölbe 1079,2149,79,21
und 1179,2149,53,21
Rahmen, 1251,2148,123,27
3. 1395,2149,21,20
<EOS>
(TeU-) 1439,2148,89,25
Lieferung 1550,2148,139,25
A. 1709,2148,30,20
<EOS>
Mit 1760,2148,49,20
63 1830,2148,29,20
Textabbü- 1880,2147,145,21
dungen. 1079,2179,107,26
<EOS>
Stuttgart 1222,2178,134,27
1939, 1380,2178,68,25
Verlag 1479,2178,97,26
von 1598,2183,50,16
Konrad 1670,2178,106,21
Wittwer. 1797,2178,127,22
<EOS>
Preis 1952,2178,74,21
geh. 1079,2210,56,24
<EOS>
Fr. 1151,2210,40,19
<EOS>
8,40. 1208,2209,59,23
<EOS>
<EOP>
Als 1140,2239,48,21
Fortsetzung 1208,2239,174,27
der 1401,2238,45,21
Berechnung 1467,2238,169,25
der 1658,2238,45,21
gelenklosen 1725,2238,164,24
Gewölbe 1908,2237,117,22
entwickelt 1079,2269,147,21
der 1243,2269,45,20
Verfasser 1303,2268,138,21
in 1457,2267,26,22
der 1499,2267,46,22
vorUegenden 1561,2267,181,27
TeU-Lieferung 1756,2267,206,27
3 1979,2268,13,20
A 2002,2268,22,19
die 1079,2299,39,21
Theorie 1138,2298,106,21
des 1264,2300,45,19
gelenklosen 1329,2298,164,26
Bogens 1514,2298,102,25
auf 1633,2298,48,20
elastischen 1700,2297,154,21
Mittelpfei¬ 1874,2297,151,27
lern, 1080,2329,60,24
die 1158,2328,39,22
bei 1212,2328,41,21
der 1270,2328,45,22
statischen 1331,2327,143,22
Berechnung 1489,2327,169,27
der 1673,2327,46,21
Viadukte 1733,2327,130,22
auf 1880,2327,46,22
hohen 1942,2327,84,21
Pfeilern 1079,2359,112,21
und 1207,2360,51,20
der 1273,2358,44,20
durchlaufenden 1334,2357,216,22
Bogen 1567,2358,87,25
zur 1667,2362,48,16
Anwendung 1728,2358,169,25
gelangt. 1912,2358,113,25
<EOS>
Der 1079,2389,51,20
Autor 1145,2388,85,21
erweitert 1246,2388,131,22
das 1394,2388,46,21
von 1455,2393,51,17
ihm 1521,2387,54,21
schon 1593,2388,79,20
seit 1687,2388,50,22
Jahren 1753,2388,98,20
empfohlene 1865,2388,160,26
Verfahren 1078,2418,145,21
zur 1240,2422,45,16
Bestimmung 1306,2417,178,26
der 1503,2417,45,21
statisch 1565,2417,111,21
unbestimmten 1693,2417,204,21
Grössen 1915,2417,109,22
des 1080,2449,44,21
vollständig 1143,2448,157,26
eingespannten 1318,2447,203,26
Bogens 1541,2448,102,23
auf 1664,2448,45,20
den 1731,2448,47,20
Fall 1799,2448,55,20
der 1875,2449,44,20
elasti¬ 1939,2448,86,21
schen 1079,2478,78,21
Einspannung 1177,2478,187,26
der 1387,2477,45,21
Kämpfer. 1453,2477,132,27
<EOS>
Durch 1609,2477,86,22
Einführung 1717,2477,166,28
der 1904,2477,46,22
ent¬ 1970,2477,55,22
sprechenden 1078,2508,173,27
Drehungen 1268,2508,155,24
und 1440,2507,53,21
Verschiebungen 1508,2507,225,26
in 1750,2507,27,21
die 1794,2507,42,21
Elastizitäts¬ 1850,2507,175,21
gleichungen 1080,2538,169,27
ergeben 1267,2537,111,27
sich 1394,2537,55,21
Systeme 1467,2537,120,26
von 1603,2542,51,16
je 1671,2537,26,27
drei 1715,2537,55,21
Gleichungen 1787,2537,174,26
mit 1978,2537,49,21
drei 1080,2569,54,21
Unbekannten. 1149,2567,197,23
<EOS>
Ein 1372,2567,50,20
durchgerechnetes 1438,2567,249,26
Beispiel 1703,2567,110,26
zeigt 1830,2567,71,26
die 1918,2568,39,20
An¬ 1974,2567,52,20
wendung 1080,2598,127,26
des 1228,2598,45,21
Verfahrens 1295,2597,158,22
bis 1475,2597,39,21
zu 1534,2602,33,16
den 1590,2598,49,20
Einflusslinien 1662,2598,193,19
der 1879,2598,45,20
Kern¬ 1946,2598,80,20
punktsmomente 1080,2627,226,28
für 1329,2627,44,21
Bogen 1397,2627,88,26
und 1508,2627,52,21
PfeUerschnitte 1583,2626,209,22
unter 1814,2627,77,21
Berück¬ 1915,2626,111,22
sichtigung 1081,2659,148,25
der 1246,2658,46,21
Bremskräfte. 1310,2657,187,21
<EOS>
<EOP>
Für 1144,2688,53,22
die 1218,2688,41,21
jüngeren 1280,2687,125,27
Kollegen 1425,2686,124,28
ist 1571,2686,34,23
vielleicht 1627,2686,129,22
der 1776,2686,46,22
Hinweis 1843,2686,114,22
von 1977,2692,50,16
Interesse, 1080,2719,135,24
dass 1234,2719,61,20
der 1312,2718,44,21
Autor 1373,2717,85,21
als 1475,2717,40,20
Gründsystem 1532,2717,185,25
zur 1733,2721,48,17
Berechnung 1796,2717,169,25
des 1983,2717,45,20
eingespannten 1080,2748,203,27
Bogens 1304,2747,101,27
den 1426,2747,48,22
einseitig 1494,2747,121,27
eingespannten 1635,2747,202,26
Bogen, 1858,2747,94,26
also 1973,2747,54,21
ein 1080,2779,41,22
unsymmetrisches 1141,2777,247,28
Tragsystem 1405,2776,170,27
einführt 1595,2776,114,21
und 1730,2776,51,21
nicht 1799,2776,71,21
den 1891,2777,48,20
beid¬ 1958,2776,69,21
seitig 1080,2808,78,27
eingespannten 1183,2808,202,27
Balken. 1408,2807,106,21
<EOS>
Die 1537,2807,47,21
Vorteile, 1609,2806,118,25
die 1753,2807,39,21
im 1818,2807,36,21
häufigsten 1877,2806,150,27
Falle 1080,2840,71,19
eines 1172,2839,68,20
symmetrischen 1259,2837,213,27
Bogens 1492,2837,101,26
ein 1614,2836,40,22
ebenfalls 1674,2836,125,22
symmetrisches 1817,2836,211,27
Grundsystem 1080,2869,187,26
aufweist, 1289,2867,128,25
auf 1438,2867,47,21
das 1506,2868,47,19
die 1571,2867,40,21
beliebte 1632,2867,109,23
Festpunktmethode 1762,2867,265,26
angewendet 1080,2898,167,26
werden 1266,2898,101,21
kann, 1387,2897,76,25
sind 1484,2897,57,21
gross, 1560,2902,81,21
insbesondere 1663,2897,179,22
dann, 1861,2897,74,26
wenn 1953,2902,74,16
<EOS>
<EOP>
