2254,2981
132 211,78,46,21
ingénieur^^^KTevey 1372,954,282,32
(Section 1675,958,98,22
Vaudoise). 1792,958,129,18
<EOS>
Lugrin 1204,984,86,21
E. 1306,984,25,17
<EOS>
V., 1342,983,32,20
<EOS>
ingénieur-civil, 1394,982,185,21
Lausanne 1597,982,119,17
(Section 1734,980,100,22
Vaudoise). 1850,980,130,20
<EOS>
Moor 1204,1007,63,17
Walter, 1282,1007,91,19
Architekt, 1391,1005,123,20
Zürich 1533,1005,80,17
(Sektion 1632,1004,101,20
Zürich). 1749,1003,98,21
<EOS>
<EOP>
Gestorben: 1265,1029,135,18
Leder 1203,1052,73,17
Walter, 1294,1051,93,20
Maschinen-Ingenieur, 1407,1049,270,21
Basel 1697,1049,67,18
(Sektion 1779,1048,102,20
Basel), 1896,1047,84,21
v. 1204,1079,19,12
<EOS>
Steiger 1242,1074,88,20
Rex, 1345,1073,65,21
Bau-Ingenieur, 1430,1072,185,21
Bern 1634,1073,58,16
(Sektion 1714,1071,100,20
Bern). 1831,1071,78,19
<EOS>
Ziegler 1205,1097,84,21
Ernst, 1306,1096,75,21
Architekt, 1397,1095,124,21
Wabern 1538,1094,99,19
(Sektion 1654,1094,102,20
Bern). 1772,1093,77,20
<EOS>
Meyer 1207,1119,75,21
Samuel, 1299,1118,95,21
Architekt, 1413,1118,124,21
Gächlingen 1557,1117,138,21
(Sektion 1715,1116,102,20
Schaffhausen). 1833,1115,182,20
<EOS>
Altwegg 1203,1142,104,20
Arnold, 1323,1141,91,21
Bau-Ingenieur, 1433,1140,187,22
St. 1639,1140,31,17
<EOS>
Gallen 1689,1139,79,18
(Sektion 1788,1139,103,20
St. 1908,1138,32,18
<EOS>
Gallen). 1958,1138,97,19
<EOS>
jGgBBv 1186,1165,87,26
Edouard, 1292,1164,111,20
ingénieur-cHjM 1423,1157,188,32
Pully 1628,1162,68,22
(Section 1717,1162,97,19
Vaudoise). 1831,1161,131,20
<EOS>
Itschner 1204,1188,102,17
Otto, 1323,1187,59,20
Architekt, 1402,1186,124,21
Küsnacht-Ztirich 1544,1184,209,19
(Sektion 1771,1184,103,20
Zürich). 1891,1183,98,20
<EOS>
Schild 1205,1210,75,18
Siegfried, 1299,1208,119,22
Elektro-Ingenieur, 1439,1208,231,21
Zürich 1690,1207,80,17
(Sektion 1793,1207,103,20
Zürich). 1913,1206,100,20
<EOS>
<EOP>
2. 1267,1234,21,20
<EOS>
Rechnung 1306,1234,193,24
1939 1516,1231,83,21
und 1614,1231,68,21
Budget 1697,1231,140,25
194 1854,1230,61,20
0. 1924,1230,21,21
<EOS>
Das 1963,1230,53,20
Central- 2033,1229,118,21
Comité 1205,1263,99,21
behandelt 1328,1262,138,22
den 1491,1262,49,22
Rechnungsabschluss 1558,1260,290,27
pro 1873,1265,47,22
1939 1946,1260,61,20
und 2034,1260,51,20
be- 2107,1260,42,19
schliesst, 1205,1295,123,22
die 1343,1294,40,21
Rechnung 1394,1293,143,25
den 1547,1293,50,20
Rechnungsrevisoren 1607,1291,288,26
zur 1905,1295,48,16
Prüfung 1963,1289,119,26
vor¬ 2090,1295,60,16
zulegen. 1202,1325,114,25
<EOS>
Das 1334,1325,54,20
Budget 1405,1323,100,26
1940 1524,1322,60,21
wird 1600,1322,65,21
bereinigt. 1681,1322,133,25
<EOS>
Das 1840,1322,53,20
C. 1910,1321,26,20
<EOS>
C. 1946,1321,28,20
<EOS>
beschliesst, 1990,1319,160,25
nach 1202,1355,68,21
Erhalt 1287,1354,94,21
des 1400,1355,44,19
Berichtes 1461,1353,133,21
der 1614,1353,45,20
Rechnungsrevisoren, 1678,1351,294,27
die 2000,1350,40,22
Rech¬ 2068,1350,78,20
nung 1203,1390,71,21
1939 1290,1384,61,21
und 1367,1384,52,21
das 1433,1384,47,21
Budget 1496,1383,101,26
1940 1614,1383,62,20
in 1699,1383,27,20
einer 1748,1382,71,20
schriftlichen 1842,1381,177,21
Abstim¬ 2035,1380,115,21
mung 1205,1421,79,20
den 1298,1415,47,20
Sektionen 1361,1415,138,20
zur 1512,1419,47,15
Genehmigung 1573,1413,195,25
zu 1781,1417,33,16
unterbreiten. 1828,1411,184,22
<EOS>
<EOP>
3. 1265,1444,21,21
<EOS>
Ausgleichkasse 1315,1443,322,26
für 1669,1441,61,21
Selbständigerwer¬ 1764,1440,387,25
bende. 1204,1476,117,20
<EOS>
Das 1349,1476,54,19
C. 1418,1475,26,19
<EOS>
C. 1455,1474,26,20
<EOS>
nimmt 1499,1474,94,20
Kenntnis 1610,1473,127,21
von 1761,1477,51,16
den 1837,1472,49,21
Vorschlägen 1902,1471,176,26
des 2105,1471,46,20
Volkswirtschaftsdepartementes 1202,1504,452,26
für 1681,1503,45,20
die 1753,1503,39,20
Regelung 1819,1502,135,25
einer 1981,1501,71,21
Wirt¬ 2071,1500,78,21
schaftsbeihilfe 1205,1535,206,22
für 1429,1534,44,21
Selbständigerwerbende 1494,1532,325,28
und 1847,1532,52,21
beschliesst, 1925,1531,159,25
zur 2105,1535,49,16
Abklärung 1205,1566,151,25
der 1372,1566,44,20
Verhältnisse 1429,1565,177,20
im 1619,1564,36,20
Verein 1669,1563,93,21
eine 1776,1563,55,20
Rundfrage 1847,1562,149,26
unter 2012,1561,76,21
den 2101,1561,50,20
selbständigerwerbenden 1204,1595,340,27
Mitgliedern 1556,1594,165,26
durchzuführen. 1733,1592,213,22
<EOS>
Die 1959,1593,48,19
Frage 2019,1593,85,24
ist 2113,1590,38,21
mit 1205,1626,47,22
den 1267,1627,48,20
Behörden 1329,1626,132,21
beförderlich 1474,1624,170,21
zu 1654,1629,33,15
behandeln. 1699,1622,149,22
<EOS>
<EOP>
4. 1267,1657,22,20
<EOS>
Ferner 1305,1656,98,21
werden 1414,1656,102,20
behandelt: 1532,1654,147,21
die 1696,1654,39,21
Titelschutzfrage, 1752,1653,240,25
die 2007,1652,41,20
Ange¬ 2062,1652,88,25
legenheit 1204,1687,128,26
Wettbewerb 1350,1686,173,21
Töchterschule 1542,1683,199,22
Zürich, 1755,1683,100,25
Regionalspital 1875,1681,204,28
Sit¬ 2098,1681,52,21
ten, 1204,1718,51,24
Beitritt 1273,1716,105,21
zur 1394,1722,46,15
Schweiz. 1458,1715,119,22
<EOS>
Genossenschaft 1596,1714,218,22
für 1830,1713,45,21
Luftschutzbauten, 1890,1712,258,23
Vertretung 1204,1748,158,25
des 1375,1748,45,19
S. 1432,1747,25,20
<EOS>
I. 1465,1746,20,21
<EOS>
A. 1494,1746,32,21
<EOS>
im 1537,1746,36,19
BetriebswissenschaftUchen 1585,1742,384,23
Institut, 1980,1742,115,23
die 2109,1742,40,20
neuen 1201,1781,83,16
Lehrlingsreglemente 1302,1774,292,27
für 1611,1774,43,20
Hochbau- 1673,1773,135,20
und 1825,1772,50,20
Bauzeichner 1892,1771,174,21
usw. 2086,1775,65,16
<EOS>
<EOP>
Zürich, 1267,1811,99,24
den 1380,1810,50,21
12. 1444,1809,38,21
<EOS>
März 1495,1809,73,21
1940. 1582,1808,68,21
<EOS>
Das 1879,1808,54,20
Sekretariat. 1947,1804,170,23
<EOS>
SI 1207,1882,64,62
1 1309,1883,15,25
Basler 1361,1880,106,28
Ingenieur- 1487,1880,172,33
und 1680,1878,62,27
Architekten-Verein 1763,1875,323,29
i 1238,1926,7,16
li 1262,1908,22,36
Ai 1304,1908,37,33
Sitzung 1361,1925,109,25
vom 1485,1930,60,15
28. 1562,1924,37,21
<EOS>
Februar 1611,1923,120,21
1940 1746,1922,59,20
Auf 1264,1979,56,21
Einladung 1332,1978,149,25
des 1497,1977,45,19
B. 1557,1976,29,20
<EOS>
I.A. 1593,1976,61,20
<EOS>
sprach 1664,1974,95,27
Arch. 1774,1974,79,21
<EOS>
Alfred 1867,1973,111,20
Roth 1992,1972,81,21
über 2089,1971,67,21
Die 1265,2017,48,20
Realität 1328,2015,118,21
der 1462,2014,46,21
neuen 1523,2018,84,17
Architektur. 1622,2012,182,21
<EOS>
Der 1265,2055,53,19
Referent 1327,2052,126,21
zeigte 1466,2051,87,26
an 1567,2056,36,16
Hand 1614,2050,78,20
eines 1707,2051,71,19
prächtigen 1792,2047,156,28
BUdmaterials 1957,2046,199,22
die 1204,2084,41,22
herrlichsten 1261,2083,172,21
Steinchen 1448,2082,137,20
aus 1601,2085,48,16
dem 1665,2080,59,21
Mosaik 1735,2079,101,20
der 1853,2078,46,20
modernen 1908,2077,142,21
Archi¬ 2060,2075,94,22
tektur 1203,2114,90,22
und 1308,2113,53,21
legte 1377,2113,69,26
dar, 1458,2112,52,23
worauf 1521,2111,103,20
die 1634,2110,41,20
Erhabenheit 1685,2107,177,22
dieser 1871,2107,85,21
Schöpfungen 1966,2106,187,27
beruht. 1205,2145,99,21
<EOS>
Es 1331,2144,36,19
sind 1388,2143,56,20
dies 1466,2142,55,20
die 1536,2140,41,22
Anpassung 1592,2140,158,26
an 1770,2144,34,15
die 1820,2138,41,20
Landschaft, 1875,2136,171,26
an 2062,2141,34,15
die 2112,2136,42,20
topographischen 1207,2173,237,27
und 1468,2172,53,20
klimatischen 1545,2170,184,21
Gegebenheiten, 1753,2167,216,27
die 1992,2167,41,21
Raum¬ 2056,2167,97,20
organisation 1204,2204,181,27
in 1401,2203,27,20
horizontaler 1438,2200,175,23
und 1623,2200,53,21
vertikaler 1686,2199,142,21
Richtung, 1840,2197,140,27
die 1991,2197,41,21
saubere 2043,2197,112,20
zweckmässige 1204,2234,202,25
Konstruktion 1426,2231,191,22
und 1638,2230,52,20
die 1710,2229,42,21
neue 1772,2234,66,16
Farbgestaltung 1858,2228,225,26
mit 2103,2226,53,22
Tönen 1204,2265,88,21
oder 1307,2265,62,19
Farben. 1380,2262,108,21
<EOS>
Die 1505,2261,48,21
Hindernisse, 1564,2260,176,24
die 1751,2259,41,20
sich 1805,2258,56,21
dieser 1871,2258,85,21
neuen 1966,2262,84,16
Archi¬ 2060,2256,91,21
tektur 1206,2295,89,21
entgegenstellen, 1311,2292,228,29
liegen 1555,2291,86,25
einerseits 1656,2289,136,22
in 1806,2289,28,20
den 1848,2289,50,20
Gesetzgebungen, 1913,2287,242,27
die 1207,2326,40,20
ihrer 1257,2325,71,21
Zeit 1338,2324,56,21
nicht 1403,2322,74,22
vorauseilen, 1486,2320,168,25
und 1665,2320,53,21
anderseits 1729,2318,144,23
in 1886,2318,27,21
den 1923,2318,50,21
Architekten 1981,2316,174,22
selbst, 1206,2355,89,25
die 1303,2355,41,21
ihrerseits 1351,2353,136,23
von 1494,2357,50,17
einer 1553,2351,70,22
formalästhetischen 1631,2349,277,23
Kunstgeschichte 1918,2347,238,27
belastet, 1205,2386,118,24
den 1339,2385,50,21
Atem 1404,2384,79,21
der 1504,2383,45,21
Zeit, 1569,2382,62,24
d. 1648,2381,22,21
<EOS>
h. 1681,2381,25,21
<EOS>
die 1722,2380,41,21
praktischen 1778,2378,170,28
Forderungen 1968,2378,187,26
und 1206,2417,51,21
visionären 1273,2415,149,22
Ziele 1437,2413,68,22
nicht 1520,2412,74,21
zu 1607,2416,33,16
erkennen 1656,2410,130,22
vermögen. 1801,2409,148,27
<EOS>
<EOP>
Reicher 1267,2446,110,21
Beifall 1401,2444,95,21
lohnte 1518,2443,89,21
diesen 1629,2442,87,20
von 1739,2445,52,17
innerer 1814,2440,105,21
Berufung 1944,2439,135,25
und 2101,2438,55,21
Ueberzeugung 1206,2477,208,25
getragenen 1429,2475,161,27
Vortrag. 1604,2472,122,27
<EOS>
-e- 2086,2473,37,16
<EOS>
<EOP>
SITZUNGS- 1211,2544,203,29
UND 1433,2543,87,27
VORTRAGS-KALENDER 1538,2539,453,31
Zur 1208,2598,43,17
Aufnahme 1268,2596,126,19
in 1413,2595,25,19
diese 1456,2595,63,19
Aufstellung 1538,2592,145,23
müssen 1700,2592,92,19
die 1811,2592,38,18
Vorträge 1867,2592,111,20
(sowie 1998,2590,79,19
auch 2094,2588,57,18
nachträgliche 1209,2619,167,22
Aenderungen) 1391,2617,173,22
bis 1584,2617,35,17
spätestens 1637,2616,127,22
jeweils 1781,2614,86,22
Donnerstag 1884,2614,141,19
früh 2043,2610,52,19
der 2112,2610,39,19
Redaktion 1210,2642,125,19
mitgeteilt 1353,2640,120,23
sein. 1493,2640,55,19
<EOS>
19. 1206,2676,36,21
<EOS>
März 1250,2675,75,22
(Dienstag): 1343,2675,165,25
Schweiz. 1540,2672,123,23
<EOS>
Energie-Konsumenten-Verband. 1673,2665,482,32
<EOS>
14.30 1252,2706,66,20
<EOS>
h 1334,2706,17,19
im 1372,2705,35,20
Hotel 1427,2704,78,21
Habls-Royal, 1521,2702,186,27
Zürich, 1723,2701,102,24
Generalversammlung 1847,2697,309,25
mit 1251,2736,50,21
Referat 1315,2735,111,22
von 1440,2740,53,15
Ing. 1506,2735,58,25
<EOS>
Dr. 1574,2734,45,20
<EOS>
JE. 1634,2733,31,20
<EOS>
Steiner 1675,2732,102,21
: 1786,2736,7,16
«Unsere 1808,2730,114,21
Energieversor¬ 1938,2727,218,27
gung 1251,2770,72,23
in 1339,2765,27,21
der 1381,2765,46,21
Kriegswirtschaft». 1442,2763,267,28
<EOS>
<EOS>
<EOP>
29. 1207,2803,37,21
<EOS>
März 1252,2803,75,21
(Freitag): 1346,2802,142,26
Techn. 1505,2802,94,20
<EOS>
Verein 1610,2800,96,22
Winterthur. 1715,2797,169,22
<EOS>
20.15 1911,2795,67,21
<EOS>
h 1988,2795,18,21
im 2022,2796,35,19
Bahn¬ 2069,2796,86,19
hof 1252,2834,46,19
sali. 1300,2834,55,19
<EOS>
Vortrag 1372,2833,115,25
von 1497,2836,52,16
Prof. 1559,2830,71,22
<EOS>
Dr. 1641,2830,44,21
<EOS>
G. 1695,2829,28,22
<EOS>
Eichelberg 1731,2827,155,25
(Zürich) 1899,2825,117,26
: 2022,2830,6,16
«Neuere 2039,2825,118,21
Forschungsergebnisse 1252,2862,319,28
auf 1596,2861,47,21
dem 1669,2860,58,21
Gebiet 1754,2858,91,22
der 1871,2857,45,21
Verbrennungs¬ 1940,2856,212,26
motoren». 1253,2893,141,21
<EOS>
<EOS>
<EOP>
